Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,"Brief Description (For no description, contact the professor)",
1,AD1,Abhijit Das,AD,,To be decided later,Computational Number Theory / Cryptology,2,Willingness to work and experience in Computational Number Theory and/or Cryptology (including cryptanalysis),
,AD2,Abhijit Das,,,To be decided later,Computational Number Theory / Cryptology,2,Willingness to work and experience in Computational Number Theory and/or Cryptology (including cryptanalysis),
2,AM1,Animesh Mukherjee,AM,PG,Deep learning models for fake review detection in Yelp,"Deep learning, fake detection",1,"Misinformation propagated in social media in the form of fraudulent reviews has severe consequences for the businesses such online market places (e.g. ecommerce websites, google playstore etc.)  Several people trust location based social networks, (e.g yelp, justdial)  which are useful in recommending popular day to day services such as restaurants, hotels, gyms etc. These platforms heavily rely on user reviews for recommendation.  Under this circumstance it is extremely important for businesses to maintain authenticity of information and develop technology to detect early signs of fraudulent behaviour. 

In this project our goal is to study large scale review corpus and investigate utility of sequence models such as LSTM  in differentiating fake and real reviews. More specifically let’s assume that a review is a sequence of characters, and each subsequence has two states i.e either useful or misleading. Our goal is to learn a model which will output a score for each state for the entire review by leveraging sequential patterns and help us in classifying it as fake or real. We would also like to investigate how the standard features based models reported in the literature compare with our DL models.
",
,AM2,Animesh Mukherjee,,PG,Automatic prediction of exaggeration in health news using deep learning models,"Exaggeration detection, deep learning",1,"News articles are the primary source of health-related information for a large chunk of common people, although these pieces of information first appear as scientific articles in health-related journals. This is because, unlike scientific articles, the news articles are written in simple language that can be easily understood by the general public. News agencies and journalists rely on the published scientific article and the associated press release for the content. However, while putting information in a news article they, knowingly or unknowingly, often exaggerate the facts and claims. Automatic detection of exaggeration in a news article can help the general public to be cautious while reading its content. In this work, we plan to explore the syntactic, semantic and latent features (word2vec, doc2vec etc) that could potentially detect exaggeration. Also, we will examine LSTMs and memory networks based techniques to build a classifier based on top of these features that can accurately detect if a news article is exaggerated and at which level it is exaggerated.",
,AM3,Animesh Mukherjee,,PG,The combat of hate speech and counterspeech in social media,"Hate speech detection, Counterspeech detection, Deep learning",1,"Hatespeech is a serious issue which has become more widespread as the reach of social media increased. While there are multiple ways to tackle hatespeech, the most effective method in the long run seems to be counterspeech. In this project, we focus on the different aspects of such hatespeech and the corresponding counterspeech. Specifically, we look into the following research questions in this project:

1. Do the users who take part in the hatespeech and counterspeech form a community?

2. How much does counterspeech help in reducing the effect of hatespeech?

3. How counterspeech hashtags differs from the hatespeech hashtags?

4. Can we build automatic methods to detect counterspeech. Apart from standard features we plan to investigate latent models like LSTMs etc. for counterspeech detection.",
,AM4,Animesh Mukherjee,,,Table Citations: How they help boost citations,"Citation Network, Deep learning techniques (CNNs in specific)",1,"The volume of scholarly publication per year has grown dramatically in the last two decades, along with an explosion in the number of papers that are available online, indexed, and searchable. In recent years, the study of citation network has gained immense popularity among social network researchers. The number of citations to a paper determines its popularity among researchers. We specifically choose table citations along with the total citation counts to answer the following questions since papers when cited in tables are generally because of some improvement done on the cited paper or because of some dataset offered by the cited paper. In this study we aim to find the effect of table citations on the popularity of a paper, its temporal citation count, how new techniques are improving upon old techniques with time. In this research we aim to answer the following questions:
0. Extract table citations from paper pdfs (using CNNs as they do for image extraction). Exploit various NLP techniques post extraction to build accurate table structures.
1. Can we efficiently predict the future citation count using present citation count and
present table citation count?
2. Do papers having high citations, tend to share their citations with papers which cite
them in tables.
3. What papers are improving upon a given paper(or technique) over time.
4. The rise and fall of different techniques for a specific task.
5. Generation of state-of- the-art techniques for different problems.
",
,AM5,Animesh Mukherjee,,,Topically aware chatbots,Seq-2-seq learning,1,"Chatbots have boomed in the last few years with the resurgence of Deep Learning. Unlike the traditional Chatbots which work on structured input, these new era Chatbots can take natural language queries as input and produce appropriate output. These nascent Chatbots still lack several key features like personality, consistency in reply etc... In this project, we will be tackling some of these issues. Particularly, we will look into the following problems:

1. Personality Traits: One of the main issues while conversing with the Chatbot agent is the lack of a personality. For example, if you ask the Chatbot 'Are you a girl ?', it responds with 'Yes'. Again, if you ask 'Are you a boy ?' it will respond with 'Yes'. The lack of such personal attributes can be troublesome. We will look at ways in which a Chatbot will be able to learn several personality traits automatically using Deep Learning.

2. Topic based conversation reply: Another issue with open-domain Chatbot is that most of the responses to questions are very generic like ' i don't know'. while these responses serve the purpose, they can be improved easily by incorporating topical information into the Chatbot. Here, we will be using a topic hierarchy to generate responses that will look more 'natural and satisfactory'.",
3,AH1,Aritra Hazra,AH,,A Framework for Quality Composition of Component-based Systems,"VLSI CAD, Formal Methods, System Design",1,"During the system development phase, quality measures are considered to be an important parameter for the acceptance of component-based complex systems. However, formalization of quality measures is still at an immature state and often dictated by the user satisfaction. Interesting formulations in system quality can be observed when a component undergoes failure while operating in an unreliable mode and hence had to switch to other mode of operation. This project aims to present a novel algebra for quality computation of a component-based complex system from the formal quality expressions and the operating reliabilities of its constituent components. The final goal of this project is to develop a prototype tool that would assess the system quality based on the quality attributes of its components.",
,AH2,Aritra Hazra,,,An Oracle for Quality Evaluation of Component-based Systems,"VLSI CAD, Formal Methods, System Design",1,"Performance of a system is primarily dictated by its reliability and output quality attributes. Often, we are curious to know about the overall quality of a complex component-based system when its constituent components operates in certain combination of modes. Interesting observations in the output quality can be made when a component undergoes failure while operating in an unreliable mode and hence had to switch to other mode of operation. This project attempts to build an oracle to answer these system quality related questions from the underlying description of the component quality measures. The final goal of this project is to develop a query processor tool (oracle) that gives performance parameters under the enquired setup of a component-based system.",
4,AG1,Arobinda Gupta,AG,,Distributed Systems,Distributed Systems,1,Distributed Systems,
